organization,name,address,city,state,zip,phone,website,source
San Diego Public Library,Central Library,330 Park Blvd,San Diego,CA,92101,(619) 236-5800,https://www.sandiego.gov/public-library/central-library,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Allied Gardens/Benjamin Library,5188 Zion Ave,San Diego,CA,92120,(619) 533-3970,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Balboa Library,4255 Mt. Abernathy Ave,San Diego,CA,92117,(858) 573-1390,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Carmel Mountain Ranch Library,12095 World Trade Dr,San Diego,CA,92128,(858) 538-8181,https://www.sandiego.gov/public-library/locations/carmel-mountain-ranch-library,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Carmel Valley Library,3919 Townsgate Dr,San Diego,CA,92130,(858) 552-1668,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,City Heights/Weingart Library,3795 Fairmount Ave,San Diego,CA,92105,(619) 641-6100,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,City Heights Performance Annex,3795 Fairmount Ave,San Diego,CA,92105,,,
San Diego Public Library,Clairemont Library,2920 Burgener Blvd,San Diego,CA,92110,(858) 581-9935,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,College-Rolando Library,6600 Montezuma Rd,San Diego,CA,92115,(619) 533-3902,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Kensington-Normal Heights Library,4121 Adams Ave,San Diego,CA,92116,(619) 533-3974,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,La Jolla/Riford Library,7555 Draper Ave,La Jolla,CA,92037,(858) 552-1657,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Linda Vista Library,2160 Ulric St,San Diego,CA,92111,(858) 573-1399,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Logan Heights Library,567 S. 28th St,San Diego,CA,92113,(619) 533-3968,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Mira Mesa Library,8405 New Salem St,San Diego,CA,92126,(858) 538-8165,https://www.sandiego.gov/public-library/locations/mira-mesa-library,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Mission Hills-Hillcrest/Knox Library,215 W. Washington St,San Diego,CA,92103,(619) 692-4910,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Mission Valley Library,2123 Fenton Pkwy,San Diego,CA,92108,(858) 573-5007,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Mountain View/Beckwourth Library,721 San Pasqual St,San Diego,CA,92113,(619) 527-3404,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,North Clairemont Library,4616 Clairemont Dr,San Diego,CA,92117,(858) 581-9931,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,North Park Library,3795 31st St,San Diego,CA,92104,(619) 533-3972,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,North University Community Library,8820 Judicial Dr,San Diego,CA,92122,(858) 581-9637,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Oak Park Library,2802 54th St,San Diego,CA,92105,(619) 527-3406,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Ocean Beach Library,4801 Santa Monica Ave,San Diego,CA,92107,(619) 531-1532,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Otay Mesa-Nestor Library,3003 Coronado Ave,San Diego,CA,92154,(619) 424-0474,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Pacific Beach/Taylor Library,4275 Cass St,San Diego,CA,92109,(858) 581-9934,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Pacific Highlands Ranch Library,12911 Pacific Pl,San Diego,CA,92130,(858) 523-7052,https://www.sandiego.gov/public-library/locations/pacific-highlands-ranch-library,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Paradise Hills Library,5922 Rancho Hills Dr,San Diego,CA,92139,(619) 527-3461,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Point Loma/Hervey Library,3701 Voltaire St,San Diego,CA,92107,(619) 531-1539,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Rancho Bernardo Library,17110 Bernardo Center Dr,San Diego,CA,92128,(858) 538-8163,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Rancho Peñasquitos Library,13330 Salmon River Rd,San Diego,CA,92129,(858) 538-8159,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,San Carlos Library,7265 Jackson Dr,San Diego,CA,92119,(619) 527-3430,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,San Ysidro Library,4235 Beyer Blvd,San Diego,CA,92173,(619) 424-0475,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Scripps Miramar Ranch Library,10301 Scripps Lake Dr,San Diego,CA,92131,(858) 538-8158,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Serra Mesa-Kearny Mesa Library,9005 Aero Dr,San Diego,CA,92123,(858) 573-1396,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Skyline Hills Library,7900 Paradise Valley Rd,San Diego,CA,92139,(619) 527-3485,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Tierrasanta Library,4985 La Cuenta Dr,San Diego,CA,92124,(858) 573-1384,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,University Community Library,4155 Governor Dr,San Diego,CA,92122,(858) 552-1655,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,University Heights Library,4193 Park Blvd,San Diego,CA,92103,(619) 692-4912,,https://sandiego.librarymarket.com/branches/select
San Diego Public Library,Valencia Park/Malcolm X Library,5148 Market St,San Diego,CA,92114,(619) 527-3405,https://www.sandiego.gov/public-library/locations/valencia-park-malcolm-x-library,https://sandiego.librarymarket.com/branches/select
