indicator,domain,col,higher_is_better
poverty_rate,economic,poverty_rate_pct,False
depression,health,places_DEPRESSION,False
diabetes,health,places_DIABETES,False
disability_pct,health,disability_pct,False
mental_distress,health,places_MHLTH,False
obesity,health,places_OBESITY,False
poor_physical_health,health,places_PHLTH,False
uninsured_rate,health,places_ACCESS2,False
food_insecurity,housing,places_FOODINSECU,False
housing_insecurity,housing,places_HOUSINSECU,False
lack_transport,mobility_connectivity,places_LACKTRPT,False
mean_commute_minutes,mobility_connectivity,mean_commute_minutes,False
crime_rate_per_1k,safety_env,crime_rate_per_1k,False
service_count,youth_supports,service_count,True
services_per_10k,youth_supports,services_per_10k,True
